analysis_id,feature_id,representation,target,tissue,PC1_loading,PC2_loading
FAMILY_SPARSE_ALPHA0001_PCA,ADORA1|EXACT_SINGLE_PROTEIN|HSAMP_06645e2e8409a5b743985cdd|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,ADORA1,Wholebrain,0.08734451255349608,0.19095051413304892
FAMILY_SPARSE_ALPHA0001_PCA,ADORA1|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,ADORA1,PrefrontalCortex,0.4251777975992942,-0.5392992063929235
FAMILY_SPARSE_ALPHA0001_PCA,CHRM3|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,CHRM3,PrefrontalCortex,0.1304651042722518,0.10475124216287235
FAMILY_SPARSE_ALPHA0001_PCA,DRD1|EXACT_SINGLE_PROTEIN|HSAMP_0cb8b4d1db8c390eeeecca55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,DRD1,Pons,0.050032189700966546,0.2520991738204542
FAMILY_SPARSE_ALPHA0001_PCA,DRD1|EXACT_SINGLE_PROTEIN|HSAMP_a32ce488a48b0df9b8c4c40a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,DRD1,Caudatenucleus,0.050032189700966546,0.2520991738204542
FAMILY_SPARSE_ALPHA0001_PCA,GABRA1|EXACT_SINGLE_PROTEIN|HSAMP_7725bb8a75064c4d7246d9ba|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GABRA1,OccipitalLobe,0.34446718062346227,-0.508430805596805
FAMILY_SPARSE_ALPHA0001_PCA,GRIN1|EXACT_SINGLE_PROTEIN|HSAMP_13a552b6ffc4aac3b85a50ca|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN1,Amygdala,0.1287879088003084,0.1008560575093871
FAMILY_SPARSE_ALPHA0001_PCA,GRIN1|EXACT_SINGLE_PROTEIN|HSAMP_752ebc880edc13bb4e2b2de8|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN1,PrefrontalCortex,0.1287879088003084,0.1008560575093871
FAMILY_SPARSE_ALPHA0001_PCA,GRIN2A|EXACT_SINGLE_PROTEIN|HSAMP_192dff4b8df5862a227b1163|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN2A,SubthalamicNucleus,0.1287879088003084,0.1008560575093871
FAMILY_SPARSE_ALPHA0001_PCA,GRIN2A|EXACT_SINGLE_PROTEIN|HSAMP_d99ba5ea584363f8600ade55|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN2A,CingulateCortex,0.009672346815351125,-0.20425280137296586
FAMILY_SPARSE_ALPHA0001_PCA,GRIN2A|EXACT_SINGLE_PROTEIN|HSAMP_e75262fc0acfda69d976a6d3|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN2A,ParietalLobe,0.009672346815351125,-0.20425280137296586
FAMILY_SPARSE_ALPHA0001_PCA,GRIN2C|EXACT_SINGLE_PROTEIN|HSAMP_13a552b6ffc4aac3b85a50ca|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN2C,Amygdala,0.5414539837844254,0.2637505660519765
FAMILY_SPARSE_ALPHA0001_PCA,GRIN2C|EXACT_SINGLE_PROTEIN|HSAMP_20b60708f05d03c76f9fe702|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,GRIN2C,CerebellumPeduncles,0.5414539837844254,0.2637505660519765
FAMILY_SPARSE_ALPHA0001_PCA,OPRD1|EXACT_SINGLE_PROTEIN|HSAMP_f43595f3557cf05e6a721aeb|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,OPRD1,Thalamus,0.13251878922527185,0.10981628166943375
FAMILY_SPARSE_ALPHA0001_PCA,SLC6A3|EXACT_SINGLE_PROTEIN|HSAMP_8ed020260a1d25cf72324c8a|HUMAN_BIOGPS_GNF1H_GCRMA_77_TISSUE_DDOF1,alpha0001_binary_0_1_NA,SLC6A3,Hypothalamus,0.13060400846960168,0.10473294032108466
