analysis_id,compound,Axis1,Axis1_positive_variance_fraction,Axis2,Axis2_positive_variance_fraction
GLOBAL_RMS_PCOA,"Ketamine, pooled parent",-0.142645311281529,0.5093470199058531,-0.2396476086144145,0.3411716531794269
GLOBAL_RMS_PCOA,"Ketamine, confirmed racemate",0.28260720627747965,0.5093470199058531,0.30409709622461395,0.3411716531794269
GLOBAL_RMS_PCOA,S-ketamine,0.24187725889401193,0.5093470199058531,0.300601218676229,0.3411716531794269
GLOBAL_RMS_PCOA,R-ketamine,0.26023103771040496,0.5093470199058531,0.33790475559307626,0.3411716531794269
GLOBAL_RMS_PCOA,"Hydroxyketamine, unspecified isomer aggregate",0.25888805650791913,0.5093470199058531,0.33468124282319794,0.3411716531794269
GLOBAL_RMS_PCOA,Fluoxetine,-0.22454822820668624,0.5093470199058531,-0.4059602578791473,0.3411716531794269
GLOBAL_RMS_PCOA,Duloxetine,-0.3840294573065216,0.5093470199058531,-0.5759475417513299,0.3411716531794269
GLOBAL_RMS_PCOA,Venlafaxine,-0.28679010373096653,0.5093470199058531,-0.41912201430895946,0.3411716531794269
GLOBAL_RMS_PCOA,Propofol,-0.8424985830415264,0.5093470199058531,0.351409829572463,0.3411716531794269
GLOBAL_RMS_PCOA,Dexmedetomidine,-1.0421069669428495,0.5093470199058531,0.17853908657985254,0.3411716531794269
GLOBAL_RMS_PCOA,Clozapine,-0.2856097577601517,0.5093470199058531,-0.5137892804211494,0.3411716531794269
GLOBAL_RMS_PCOA,Chlorpromazine,-0.2751830598403293,0.5093470199058531,-0.5075651435342806,0.3411716531794269
GLOBAL_RMS_PCOA,Sertraline,0.20633239482985682,0.5093470199058531,0.20264288341678716,0.3411716531794269
GLOBAL_RMS_PCOA,Aripiprazole,0.13276430256313396,0.5093470199058531,0.20668172202286839,0.3411716531794269
GLOBAL_RMS_PCOA,Haloperidol,0.18448463114022742,0.5093470199058531,0.22577443258223032,0.3411716531794269
GLOBAL_RMS_PCOA,Olanzapine,0.11137449903844654,0.5093470199058531,0.06100749818259642,0.3411716531794269
GLOBAL_RMS_PCOA,Risperidone,0.06557601580965587,0.5093470199058531,0.24509647820754088,0.3411716531794269
GLOBAL_RMS_PCOA,Ziprasidone,0.11648782975322067,0.5093470199058531,0.1338178041665048,0.3411716531794269
GLOBAL_RMS_PCOA,PCP,0.21823440134759053,0.5093470199058531,0.2654195993485845,0.3411716531794269
GLOBAL_RMS_PCOA,Valproate,0.2446742969071087,0.5093470199058531,0.2712442182251023,0.3411716531794269
GLOBAL_RMS_PCOA,"Hydroxyketamine, generic E7 identity",1.1598795373315034,0.5093470199058531,-0.756886019112367,0.3411716531794269
